timestamp;user;user_type;dark_threshold;bright_threshold;blue_threshold;red_threshold;dark_morph_kernel_size;dark_morph_iterations;bright_morph_kernel_size;bright_morph_iterations;dark_gradient_threshold;detect_area
2025-07-10 11:48:16;Vitor;SuperAdmin;53;25;25;25;3;1;3;1;15;6
2025-07-10 13:35:32;;;53;25;25;25;3;1;3;1;15;6
2025-07-11 12:22:43;;;55;27;25;25;3;1;3;1;15;6
2025-07-11 16:13:13;;;55;27;23;25;3;1;3;1;15;6
2025-07-11 16:13:46;;;55;27;21;25;3;1;3;1;15;6
2025-07-11 16:16:47;;;10;27;22;25;3;3;3;3;15;6
2025-07-11 16:18:26;;;55;27;22;25;3;1;3;1;15;6
2025-07-11 16:18:43;;;53;27;22;25;3;1;3;1;15;6
2025-07-11 16:19:16;;;53;27;18;25;3;1;3;1;15;6
2025-07-11 16:22:03;;;53;27;20;25;3;1;3;1;15;6
2025-07-11 16:24:45;;;53;27;18;25;3;1;3;1;15;6
2025-07-11 16:25:02;;;53;27;20;25;3;1;3;1;15;6
2025-07-14 14:56:28;;;60;27;20;25;3;1;3;1;15;6
2025-07-14 14:56:33;;;60;27;20;25;3;1;3;1;15;6
2025-07-14 16:29:06;;;10;27;20;25;3;1;3;1;15;6
2025-07-14 16:29:39;;;60;27;20;25;3;1;3;1;15;6
2025-07-14 16:30:22;;;20;27;20;25;3;1;3;1;15;6
2025-07-14 16:31:01;;;60;27;20;25;3;1;3;1;15;6
2025-07-15 14:15:07;;;60;27;20;25;3;1;3;1;15;6
